Дата рождения,Имя,Фамилия,Отчество,Код клиента,day,month,year,birth_date
дата 15 January 1963,Илья,Голубчик,Велизарович,125,15,1,1963,1963-01-15
дата 1986/05 Москва,Иннокентий,Голубятников,Велимирович,126,,,1986,
1952,Каллистрат,Гольцев,Викулич,135,,,1952,
1956 год,Капитон,Гольцов,Виленович,136,,,1956,
1991 Feb 10 Питер,Карл,Голягин,Вильгельмович,137,10,2,1991,1991-02-10
19861005 Москва,Ким,Гомбоев,Витольдович,140,19,86,1005,1005-86-19
дата 05101991,Корней,Гондобин,Всеволодович,149,5,10,1991,1991-10-05
дата 15 January 1964,Кузьма,Гондырев,Всеславович,150,15,1,1964,1964-01-15
дата 1986/05 Москва,Куприян,Гонимедов,Вуколович,151,,,1986,
1953,Леонтий,Гонтарук,Авдиевич,160,,,1953,
1957 год,Лонгин,Гонтарь,Авелевич,161,,,1957,
1992 Feb 10 Питер,Августа,Гонцова, Авенировна,162,10,2,1992,1992-02-10
19861005 Москва,Аглая,Гончарик,Аверьяновна,165,19,86,1005,1005-86-19
дата 05101992,Александра,Горбачева,Агапиевна,174,5,10,1992,1992-10-05
дата 15 January 1965,Алина,Горбатых,Агапитовна,175,15,1,1965,1965-01-15
дата 1986/05 Москва,Алиса,Горбач, Агафоновна,176,,,1986,
1954,Анфиса,Горбункова,Акинфовна,185,,,1954,
1958 год,Аполлинария,Горбунова, Акинфиевна,186,,,1958,
1993 Feb 10 Питер,Ариадна,Горбунчикова, Аксёновна,187,10,2,1993,1993-02-10
19861005 Москва,Борислава,Демьяненко, Алексеевна,190,19,86,1005,1005-86-19
дата 05101993,Вероника,Демяновская, Анатолиевна,199,5,10,1993,1993-10-05
дата 15 January 1966,Викторина,Деникина, Андреевна,200,15,1,1966,1966-01-15
дата 1986/05 Москва,Виктория,Денисевич, Андриановна,201,,,1986,
1955,Галя,Денякина,Антиоховна,210,,,1955,
1959 год,Ганна,Деплоранская,Антиповна,211,,,1959,
1994 Feb 10 Питер,Генриетта,Депутатова,Антипична,212,10,2,1994,1994-02-10
19861005 Москва,Дарья,Дербышева, Антониновна,215,19,86,1005,1005-86-19
дата 05101994,Екатерина,Державцева,Арефовна,224,5,10,1994,1994-10-05
дата 15 January 1967,Елена,Деркач,Арефьевна,225,15,1,1967,1967-01-15
дата 1986/05 Москва,Елизавета,Деркачова,Арьевна,226,,,1986,
1956,Инесса,Детнева,Артамоновна,235,,,1956,
1960 год,Инна,Деточкина, Артёмовна,236,,,1960,
1995 Feb 10 Питер,Ираида,Детушкина,Артемьевна,237,10,2,1995,1995-02-10
19861005 Москва,Казимира,Джавадова,Асафовна,240,19,86,1005,1005-86-19
дата 05101995,Клеопатра,Деткова,Артуровна,249,5,10,1995,1995-10-05
дата 15 January 1968,Конкордия,Детнева, Архиповна,250,15,1,1968,1968-01-15
дата 1986/05 Москва,Ксения,Деточкина,Асафовна,251,,,1986,
1957,Изяслав,Жабинский,Зенонович,260,,,1957,
1961 год,Иларион,Жабко,Зиновиевич,261,,,1961,
1996 Feb 10 Питер,Илья,Жабоедов,Зосимович,262,10,2,1996,1996-02-10
19861005 Москва,Ипат,Жаворонков,Иакинфович,265,19,86,1005,1005-86-19
дата 05101996,Карл,Жалобин,Изяславович,274,5,10,1996,1996-10-05
дата 15 January 1969,Карп,Жальба,Илиодорович,275,15,1,1969,1969-01-15
дата 1986/05 Москва,Касьян,Жаравин,Илларионович,276,,,1986,
1958,Константин,Жаров,Ипатович,285,,,1958,
1962 год,Корней,Жаровский,Ипатиевич,286,,,1962,
1981 Feb 10 Питер,Кузьма,Жарун,Ипполитович,287,10,2,1981,1981-02-10
1986.0509,Лавр,Жбанников,Иринархович,289,,,1986,
19861005 Москва,Лаврентий,Жбанов,Иринеевич,290,19,86,1005,1005-86-19
дата 05101981,Силантий,Жебраков,Каллиникович,299,5,10,1981,1981-10-05
дата 15 January 1970,Сильвестр,Жебрун,Каллистович,300,15,1,1970,1970-01-15
дата 1986/05 Москва,Симон,Жебрунов,Каллистратович,301,,,1986,
1959,Степан,Желваков,Кириакович,310,,,1959,
1963 год,Стоян,Желватых,Кирьякович,311,,,1963,
1998 Feb 10 Питер,Тарас,Желдаков,Кирикович,312,10,2,1998,1998-02-10
19861005 Москва,Терентий,Железный,Клавдиевич,315,19,86,1005,1005-86-19
дата 05101998,Фадей,Желтоногов,Корнеевич,324,5,10,1998,1998-10-05
дата 15 January 1971,Федор,Желтоножко,Корнелиевич,325,15,1,1971,1971-01-15
дата 1986/05 Москва,Федосий,Желтонос,Корнилович,326,,,1986,
1960,Фирс,Иванин,Зосимович,335,,,1960,
1964 год,Флорентин,Иванисов,Зосимч,336,,,1964,
1999 Feb 10 Питер,Фока,Иванихин,Иакимович,337,10,2,1999,1999-02-10
19861005 Москва,Фотий,Иванишин,Игнатович,340,19,86,1005,1005-86-19
дата 05101999,Эраст,Иванов,Илларионович,349,5,10,1999,1999-10-05
дата 15 January 1972,Эрнест,Ивановец,Иларионович,350,15,1,1972,1972-01-15
дата 1986/05 Москва,Эрнст,Иванович,Ильич,351,,,1986,
1961,Ярополк,Иванцов,Ипполитович,360,,,1961,
1965 год,Ярослав,Иванченко,Ираклиевич,361,,,1965,
1969 Feb 10 Питер,Мартын,Иванченков,Иринархович,362,10,2,1969,1969-02-10
19861005 Москва,Мефодий,Иванчихин,Исаакиевич,365,19,86,1005,1005-86-19
дата 05101994,Мирослав,Иванюк,Каллистратович,374,5,10,1994,1994-10-05
дата 15 January 1973,Митофан,Иванюков,Капитонович,375,15,1,1973,1973-01-15
дата 1986/05 Москва,Михаил,Иванютин,Карионович,376,,,1986,
1962,Наум,Ивахнушкин,Остапович,385,,,1962,
1966 год,Нестор,Ивачев,Павлович,386,,,1966,
1998 Feb 10 Питер,Никандр,Ивашев,Павлинович,387,10,2,1998,1998-02-10
19861005 Москва,Никифор,Ивашин,Памфилович,390,19,86,1005,1005-86-19
дата 05101965,Осип,Лавников,Пармёнович,399,5,10,1965,1965-10-05
дата 15 January 1974,Остап,Лавренев,Парфёнович,400,15,1,1974,1974-01-15
дата 1986/05 Москва,Остромир,Лавренко,Парфениевич,401,,,1986,
1963,Петр,Лаврик,Пименович,410,,,1963,
1967 год,Пимен,Лавриков,Питиримович,411,,,1967,
1995 Feb 10 Питер,Платон,Лавримов,Платонович,412,10,2,1995,1995-02-10
19861005 Москва,Потап,Лавриненков,Порфирович,415,19,86,1005,1005-86-19
дата 05101977,Ратмир,Лаврович,Протасович,424,5,10,1977,1977-10-05
дата 15 January 1975,Родион,Лавровский,Протасиевич,425,15,1,1975,1975-01-15
дата 1986/05 Москва,Роман,Лавронов,Прохорович,426,,,1986,
1964,Самуил,Лагутин,Рубенович,435,,,1964,
1968 год,Светозар,Ладыгин,Рувимович,436,,,1968,
1973 Feb 10 Питер,Святополк,Ладыженский,Рудольфович,437,10,2,1973,1973-02-10
19861005 Москва,Селиван,Ладынин,Ремович,440,19,86,1005,1005-86-19
дата 05101988,Леокадия,Лазоренко, Савёловна,449,5,10,1988,1988-10-05
дата 15 January 1976,Лиана,Лазукина, Савельевна,450,15,1,1976,1976-01-15
1947,Адам,Абашев,Вадимович,692,,,1947,
1951 год,Андриян,Абашин,Валентинович,693,,,1951,
1986 Feb 10 Питер,Азарий,Абашкин,Валерианович,694,10,2,1986,1986-02-10
19861005 Москва,Алексей,Абдулин,Варламович,697,19,86,1005,1005-86-19
дата 05101986,Аникита,Боровик,Велимирович,706,5,10,1986,1986-10-05
дата 15 January 1959,Анисим,Боровицкий,Венедиктович,707,15,1,1959,1959-01-15
дата 1986/05 Москва,Антип,Боровко,Вениаминович,708,,,1986,
1948,Артем,Бородыня,Вильгельмович,717,,,1948,
1952 год,Архип,Бороздин,Виссарионович,718,,,1952,
1987 Feb 10 Питер,Аскольд,Боронин,Виталиевич,719,10,2,1987,1987-02-10
19861005 Москва,Бажен,Борыков,Владимирович,722,19,86,1005,1005-86-19
дата 05101987,Валентин,Ботвин,Вуколович,731,5,10,1987,1987-10-05
дата 15 January 1960,Валерий,Боткин,Вышеславович,732,15,1,1960,1960-01-15
дата 1986/05 Москва,Валерьян,Боцян,Вячеславович,733,,,1986,
1949,Виктор,Боярышников,Вавилич,742,,,1949,
1953 год,Викторин,Брагин,Вадимович,743,,,1953,
1988 Feb 10 Питер,Виссарион,Бражин,Валентинович,744,10,2,1988,1988-02-10
19861005 Москва,Владлен,Бражников,Валериевич,747,19,86,1005,1005-86-19
дата 05101988,Гавриил,Братков,Велизарович,756,5,10,1988,1988-10-05
дата 15 January 1961,Галактион,Братухин,Велимирович,757,15,1,1961,1961-01-15
дата 1986/05 Москва,Гедеон,Братцев,Венедиктович,758,,,1986,
1950,Григорий,Высоков,Виленович,767,,,1950,
1954 год,Гурий,Высокович,Вильгельмович,768,,,1954,
1989 Feb 10 Питер,Давыд,Высокоостровский,Виссарионович,769,10,2,1989,1989-02-10
19861005 Москва,Демид,Выходцев,Владиленович,772,19,86,1005,1005-86-19
дата 05101989,Евдоким,Вьющенко,Всеславович,781,5,10,1989,1989-10-05
дата 15 January 1962,Евлампий,Вязгин,Вуколович,782,15,1,1962,1962-01-15
дата 1986/05 Москва,Евсей,Вязгунов,Вышеславович,783,,,1986,
1951,Ермил,Вялов,Брониславович,792,,,1951,
1955 год,Ермолай,Вяльцев,Вавилич,793,,,1955,
1990 Feb 10 Питер,Ерофей,Вяткин,Вадимович,794,10,2,1990,1990-02-10
19861005 Москва,Захар,Вяхирев,Валерьянович,797,19,86,1005,1005-86-19
дата 05101990,Иларион,Голубцов,Вассианович,806,5,10,1990,1990-10-05
дата 15 January 1963,Илья,Голубчик,Велизарович,807,15,1,1963,1963-01-15
дата 1986/05 Москва,Иннокентий,Голубятников,Велимирович,808,,,1986,
1952,Каллистрат,Гольцев,Викулич,817,,,1952,
1956 год,Капитон,Гольцов,Виленович,818,,,1956,
1991 Feb 10 Питер,Карл,Голягин,Вильгельмович,819,10,2,1991,1991-02-10
19861005 Москва,Ким,Гомбоев,Витольдович,822,19,86,1005,1005-86-19
дата 05101991,Корней,Гондобин,Всеволодович,831,5,10,1991,1991-10-05
дата 15 January 1964,Кузьма,Гондырев,Всеславович,832,15,1,1964,1964-01-15
дата 1986/05 Москва,Куприян,Гонимедов,Вуколович,833,,,1986,
1953,Леонтий,Гонтарук,Авдиевич,842,,,1953,
1957 год,Лонгин,Гонтарь,Авелевич,843,,,1957,
1992 Feb 10 Питер,Августа,Гонцова, Авенировна,844,10,2,1992,1992-02-10
19861005 Москва,Аглая,Гончарик,Аверьяновна,847,19,86,1005,1005-86-19
дата 05101992,Александра,Горбачева,Агапиевна,856,5,10,1992,1992-10-05
дата 15 January 1965,Алина,Горбатых,Агапитовна,857,15,1,1965,1965-01-15
дата 1986/05 Москва,Алиса,Горбач, Агафоновна,858,,,1986,
1954,Анфиса,Горбункова,Акинфовна,867,,,1954,
1958 год,Аполлинария,Горбунова, Акинфиевна,868,,,1958,
1993 Feb 10 Питер,Ариадна,Горбунчикова, Аксёновна,869,10,2,1993,1993-02-10
19861005 Москва,Борислава,Демьяненко, Алексеевна,872,19,86,1005,1005-86-19
дата 05101993,Вероника,Демяновская, Анатолиевна,881,5,10,1993,1993-10-05
дата 15 January 1966,Викторина,Деникина, Андреевна,882,15,1,1966,1966-01-15
дата 1986/05 Москва,Виктория,Денисевич, Андриановна,883,,,1986,
1955,Галя,Денякина,Антиоховна,892,,,1955,
1959 год,Ганна,Деплоранская,Антиповна,893,,,1959,
1994 Feb 10 Питер,Генриетта,Депутатова,Антипична,894,10,2,1994,1994-02-10
19861005 Москва,Дарья,Дербышева, Антониновна,897,19,86,1005,1005-86-19
дата 05101994,Екатерина,Державцева,Арефовна,906,5,10,1994,1994-10-05
дата 15 January 1967,Елена,Деркач,Арефьевна,907,15,1,1967,1967-01-15
дата 1986/05 Москва,Елизавета,Деркачова,Арьевна,908,,,1986,
1956,Инесса,Детнева,Артамоновна,917,,,1956,
1960 год,Инна,Деточкина, Артёмовна,918,,,1960,
1995 Feb 10 Питер,Ираида,Детушкина,Артемьевна,919,10,2,1995,1995-02-10
19861005 Москва,Казимира,Джавадова,Асафовна,922,19,86,1005,1005-86-19
дата 05101995,Клеопатра,Деткова,Артуровна,931,5,10,1995,1995-10-05
дата 15 January 1968,Конкордия,Детнева,"Архипович, Архиповна",932,15,1,1968,1968-01-15
дата 1986/05 Москва,Ксения,Деточкина,Асафовна,933,,,1986,
1957,Изяслав,Жабинский,Зенонович,942,,,1957,
1961 год,Иларион,Жабко,Зиновиевич,943,,,1961,
1996 Feb 10 Питер,Илья,Жабоедов,Зосимович,944,10,2,1996,1996-02-10
19861005 Москва,Ипат,Жаворонков,Иакинфович,947,19,86,1005,1005-86-19
дата 05101996,Карл,Жалобин,Изяславович,956,5,10,1996,1996-10-05
дата 15 January 1969,Карп,Жальба,Илиодорович,957,15,1,1969,1969-01-15
дата 1986/05 Москва,Касьян,Жаравин,Илларионович,958,,,1986,
1958,Константин,Жаров,Ипатович,967,,,1958,
1962 год,Корней,Жаровский,Ипатиевич,968,,,1962,
1981 Feb 10 Питер,Кузьма,Жарун,Ипполитович,969,10,2,1981,1981-02-10
1986.0509,Лавр,Жбанников,Иринархович,971,,,1986,
19861005 Москва,Лаврентий,Жбанов,Иринеевич,972,19,86,1005,1005-86-19
дата 05101981,Силантий,Жебраков,Каллиникович,981,5,10,1981,1981-10-05
дата 15 January 1970,Сильвестр,Жебрун,Каллистович,982,15,1,1970,1970-01-15
дата 1986/05 Москва,Симон,Жебрунов,Каллистратович,983,,,1986,
1959,Степан,Желваков,Кириакович,992,,,1959,
1963 год,Стоян,Желватых,Кирьякович,993,,,1963,
1998 Feb 10 Питер,Тарас,Желдаков,Кирикович,994,10,2,1998,1998-02-10
19861005 Москва,Терентий,Железный,Клавдиевич,997,19,86,1005,1005-86-19
дата 05101998,Фадей,Желтоногов,Корнеевич,1006,5,10,1998,1998-10-05
дата 15 January 1971,Федор,Желтоножко,Корнелиевич,1007,15,1,1971,1971-01-15
дата 1986/05 Москва,Федосий,Желтонос,Корнилович,1008,,,1986,
1960,Фирс,Иванин,Зосимович,1017,,,1960,
1964 год,Флорентин,Иванисов,Зосимч,1018,,,1964,
1999 Feb 10 Питер,Фока,Иванихин,Иакимович,1019,10,2,1999,1999-02-10
19861005 Москва,Фотий,Иванишин,Игнатович,1022,19,86,1005,1005-86-19
дата 05101999,Эраст,Иванов,Илларионович,1031,5,10,1999,1999-10-05
дата 15 January 1972,Эрнест,Ивановец,Иларионович,1032,15,1,1972,1972-01-15
дата 1986/05 Москва,Эрнст,Иванович,Ильич,1033,,,1986,
1961,Ярополк,Иванцов,Ипполитович,1042,,,1961,
1965 год,Ярослав,Иванченко,Ираклиевич,1043,,,1965,
1991 Feb 10 Питер,Мартын,Иванченков,Иринархович,1044,10,2,1991,1991-02-10
19861005 Москва,Мефодий,Иванчихин,Исаакиевич,1047,19,86,1005,1005-86-19
дата 05101987,Мирослав,Иванюк,Каллистратович,1056,5,10,1987,1987-10-05
дата 15 January 1973,Митофан,Иванюков,Капитонович,1057,15,1,1973,1973-01-15
дата 1986/05 Москва,Михаил,Иванютин,Карионович,1058,,,1986,
1962,Наум,Ивахнушкин,Остапович,1067,,,1962,
1966 год,Нестор,Ивачев,Павлович,1068,,,1966,
1984 Feb 10 Питер,Никандр,Ивашев,Павлинович,1069,10,2,1984,1984-02-10
19861005 Москва,Никифор,Ивашин,Памфилович,1072,19,86,1005,1005-86-19
дата 05101984,Осип,Лавников,Пармёнович,1081,5,10,1984,1984-10-05
дата 15 January 1974,Остап,Лавренев,Парфёнович,1082,15,1,1974,1974-01-15
дата 1986/05 Москва,Остромир,Лавренко,Парфениевич,1083,,,1986,
1963,Петр,Лаврик,Пименович,1092,,,1963,
1967 год,Пимен,Лавриков,Питиримович,1093,,,1967,
1994 Feb 10 Питер,Платон,Лавримов,Платонович,1094,10,2,1994,1994-02-10
19861005 Москва,Потап,Лавриненков,Порфирович,1097,19,86,1005,1005-86-19
дата 05101980,Ратмир,Лаврович,Протасович,1106,5,10,1980,1980-10-05
дата 15 January 1975,Родион,Лавровский,Протасиевич,1107,15,1,1975,1975-01-15
дата 1986/05 Москва,Роман,Лавронов,Прохорович,1108,,,1986,
1964,Самуил,Лагутин,Рубенович,1117,,,1964,
1968 год,Светозар,Ладыгин,Рувимович,1118,,,1968,
1973 Feb 10 Питер,Святополк,Ладыженский,Рудольфович,1119,10,2,1973,1973-02-10
19861005 Москва,Селиван,Ладынин,Ремович,1122,19,86,1005,1005-86-19
дата 05102003,Леокадия,Лазоренко, Савёловна,1131,5,10,2003,2003-10-05
дата 15 January 1976,Лиана,Лазукина, Савельевна,1132,15,1,1976,1976-01-15
