Дата рождения,Имя,Фамилия,Отчество,Код клиента,day,month,year,birth_date
12.янв.92,Вацлав,Бочаров,Бонифатович,55,12,01,1992,1992-01-12
17 августа 1957,Велимир,Бочкарев,Бонифатиевич,56,17,08,1957,1957-08-17
17 мая 1954,Венедикт,Бояринов,Борисович,57,17,05,1954,1954-05-17
17.сен.56,Вениамин,Бояринцев,Бориславович,58,17,09,1956,1956-09-17
15.12.1847,Викентий,Боярский,Брониславович,59,15,12,1847,1847-12-15
1949,Виктор,Боярышников,Вавилич,60,,,,1949
1953 год,Викторин,Брагин,Вадимович,61,,,,1953 год
1988 Feb 10 Питер,Виссарион,Бражин,Валентинович,62,,,,1988 Feb 10 Питер
17.05.1986,Виталий,Бражкин,Валерианович,63,17,05,1986,1986-05-17
21.05.1986,Владилен,Бражник,Валерьянович,64,21,05,1986,1986-05-21
19861005 Москва,Владлен,Бражников,Валериевич,65,,,,19861005 Москва
25.05.1988,Владимир,Бражницын,Варламович,66,25,05,1988,1988-05-25
04.05.1988,Владислав,Брайнин,Варламиевич,67,04,05,1988,1988-05-04
5-10-1986 город Коломна,Влас,Брайнович,Варнавич,68,5,10,1986,1986-10-05
05.05.1954,Всеволод,Браславский,Варсонофович,69,05,05,1954,1954-05-05
05.01.1988,Всемил,Браслетов,Варсонофиевич,70,05,01,1988,1988-01-05
05.10.2226,Всеслав,Братанов,Варфоломеевич,71,05,10,2226,2226-10-05
05.10.2306,Вышеслав,Братишкин,Васильевич,72,05,10,2306,2306-10-05
05.10.1988,Вячеслав,Братищев,Вассианович,73,05,10,1988,1988-10-05
дата 05101988,Гавриил,Братков,Велизарович,74,,,,дата 05101988
дата 15 January 1961,Галактион,Братухин,Велимирович,75,,,,дата 15 January 1961
дата 1986/05 Москва,Гедеон,Братцев,Венедиктович,76,,,,дата 1986/05 Москва
дата рождения 5.10.1988,Геннадий,Братчиков,Вениаминович,77,5,10,1988,1988-10-05
рождения 05/10/1982Москва,Георгий,Бредихин,Веньяминович,78,05,10,1982,1982-10-05
05.10.1989,Герасим,Брежнев,Венцеславович,79,05,10,1989,1989-10-05
12.янв.93,Герман,Брежной,Викентиевич,80,12,01,1993,1993-01-12
18 августа 1957,Глеб,Брежный,Викторович,81,18,08,1957,1957-08-18
18 мая 1954,Гордей,Выскубов,Викториевич,82,18,05,1954,1954-05-18
18.сен.56,Гостомысл,Высокий,Викулович,83,18,09,1956,1956-09-18
15.12.1848,Гремислав,Высоких,Викулич,84,15,12,1848,1848-12-15
1950,Григорий,Высоков,Виленович,85,,,,1950
1954 год,Гурий,Высокович,Вильгельмович,86,,,,1954 год
1989 Feb 10 Питер,Давыд,Высокоостровский,Виссарионович,87,,,,1989 Feb 10 Питер
25.05.1986,Данила,Высоцкий,Виталиевич,88,25,05,1986,1986-05-25
29.05.1986,Дементий,Вытчиков,Витольдович,89,29,05,1986,1986-05-29
19861005 Москва,Демид,Выходцев,Владиленович,90,,,,19861005 Москва
25.05.1989,Демьян,Вычегжанин,Владимирович,91,25,05,1989,1989-05-25
04.05.1989,Денис,Вычегжанинов,Владиславович,92,04,05,1989,1989-05-04
5-10-1986 город Коломна,Дмитрий,Вышегородцев,Владленович,93,5,10,1986,1986-10-05
05.05.1955,Добромысл,Вышеградский,Власович,94,05,05,1955,1955-05-05
05.01.1989,Доброслав,Вышеславцев,Власиевич,95,05,01,1989,1989-01-05
05.10.1986,Дорофей,Вышняков,Вонифатович,96,05,10,1986,1986-10-05
05.10.1966,Евгений,Вьюниченко,Вонифатиевич,97,05,10,1966,1966-10-05
05.10.1989,Евграф,Вьюрков,Всеволодович,98,05,10,1989,1989-10-05
дата 05101989,Евдоким,Вьющенко,Всеславович,99,,,,дата 05101989
дата 15 January 1962,Евлампий,Вязгин,Вуколович,100,,,,дата 15 January 1962
дата 1986/05 Москва,Евсей,Вязгунов,Вышеславович,101,,,,дата 1986/05 Москва
дата рождения 5.10.1989,Евстафий,Вяземский,Вячеславович,102,5,10,1989,1989-10-05
рождения 05/10/1986Москва,Евстигней,Вяземцев,Бенедиктович,103,05,10,1986,1986-10-05
05.10.1990,Егор,Вязников,Богданович,104,05,10,1990,1990-10-05
12.янв.94,Елизар,Вязов,Болеславович,105,12,01,1994,1994-01-12
19 августа 1957,Елисей,Вязовкин,Бонифатович,106,19,08,1957,1957-08-19
19 мая 1954,Емельян,Вязовой,Бонифатиевич,107,19,05,1954,1954-05-19
19.сен.56,Епифан,Вязьмитин,Борисович,108,19,09,1956,1956-09-19
15.12.1849,Еремей,Вязьмитинов,Бориславович,109,15,12,1849,1849-12-15
1951,Ермил,Вялов,Брониславович,110,,,,1951
1955 год,Ермолай,Вяльцев,Вавилич,111,,,,1955 год
1990 Feb 10 Питер,Ерофей,Вяткин,Вадимович,112,,,,1990 Feb 10 Питер
31.05.1986,Ефим,Вятков,Валентинович,113,31,05,1986,1986-05-31
27.05.1986,Ефрем,Вятчинин,Валерианович,114,27,05,1986,1986-05-27
19861005 Москва,Захар,Вяхирев,Валерьянович,115,,,,19861005 Москва
25.05.1990,Зиновий,Вяхорев,Валериевич,116,25,05,1990,1990-05-25
04.05.1990,Зосима,Вячеславлев,Варламович,117,04,05,1990,1990-05-04
5-10-1986 город Коломна,Иван,Вячеславов,Варламиевич,118,5,10,1986,1986-10-05
05.05.1956,Игнатий,Вячеслов,Варнавич,119,05,05,1956,1956-05-05
05.01.1990,Игорь,Голубович,Варсонофович,120,05,01,1990,1990-01-05
05.10.1946,Измаил,Голубовский,Варсонофиевич,121,05,10,1946,1946-10-05
05.10.1986,Изот,Голубоцкий,Варфоломеевич,122,05,10,1986,1986-10-05
05.10.1990,Изяслав,Голубушкин,Васильевич,123,05,10,1990,1990-10-05
дата 05101990,Иларион,Голубцов,Вассианович,124,,,,дата 05101990
дата 15 January 1963,Илья,Голубчик,Велизарович,125,,,,дата 15 January 1963
дата 1986/05 Москва,Иннокентий,Голубятников,Велимирович,126,,,,дата 1986/05 Москва
дата рождения 5.10.1990,Осип,Голузин,Венедиктович,127,5,10,1990,1990-10-05
рождения 05/10/1986Москва,Ипат,Голутвин,Вениаминович,128,05,10,1986,1986-10-05
05.10.1991,Ипатий,Голчин,Веньяминович,129,05,10,1991,1991-10-05
12.янв.95,Ипполит,Голыгин,Венцеславович,130,12,01,1995,1995-01-12
20 августа 1957,Ираклий,Голышев,Викентиевич,131,20,08,1957,1957-08-20
20 мая 1954,Исай,Голышевский,Викторович,132,20,05,1954,1954-05-20
20.сен.56,Исидор,Голышкин,Викториевич,133,20,09,1956,1956-09-20
15.12.1850,Казимир,Гольдин,Викулович,134,15,12,1850,1850-12-15
1952,Каллистрат,Гольцев,Викулич,135,,,,1952
1956 год,Капитон,Гольцов,Виленович,136,,,,1956 год
1991 Feb 10 Питер,Карл,Голягин,Вильгельмович,137,,,,1991 Feb 10 Питер
01.05.1986,Карп,Голядкин,Виссарионович,138,01,05,1986,1986-05-01
14.05.1986,Касьян,Голямов,Виталиевич,139,14,05,1986,1986-05-14
19861005 Москва,Ким,Гомбоев,Витольдович,140,,,,19861005 Москва
25.05.1991,Кир,Гомбурцев,Владиленович,141,25,05,1991,1991-05-25
04.05.1991,Кирилл,Гомеров,Владимирович,142,04,05,1991,1991-05-04
5-10-1986 город Коломна,Клавдий,Гомзиков,Владиславович,143,5,10,1986,1986-10-05
05.05.1957,Клементий,Гомзин,Владленович,144,05,05,1957,1957-05-05
05.01.1991,Кондрат,Гомзяков,Власович,145,05,01,1991,1991-01-05
05.10.1993,Кондратий,Гомозин,Власиевич,146,05,10,1993,1993-10-05
05.10.1996,Конон,Гомозов,Вонифатович,147,05,10,1996,1996-10-05
05.10.1991,Константин,Гомоюнов,Вонифатиевич,148,05,10,1991,1991-10-05
дата 05101991,Корней,Гондобин,Всеволодович,149,,,,дата 05101991
дата 15 January 1964,Кузьма,Гондырев,Всеславович,150,,,,дата 15 January 1964
дата 1986/05 Москва,Куприян,Гонимедов,Вуколович,151,,,,дата 1986/05 Москва
дата рождения 5.10.1991,Лавр,Гонобобелев,Вышеславович,152,5,10,1991,1991-10-05
рождения 05/10/1986Москва,Лаврентий,Гонобоблев,Вячеславович,153,05,10,1986,1986-10-05
05.10.1992,Ладимир,Гонохов,Абакумович,154,05,10,1992,1992-10-05
12.янв.96,Ладислав,Гоношилин,Абрамович,155,12,01,1996,1996-01-12
21 августа 1957,Лазарь,Гоношин,Абросимович,156,21,08,1957,1957-08-21
21 мая 1954,Лев,Гоношихин,Аввакумович,157,21,05,1954,1954-05-21
21.сен.56,Леон,Гонтарев,Августович,158,21,09,1956,1956-09-21
15.12.1851,Леонид,Гонтаров,Авдеевич,159,15,12,1851,1851-12-15
1953,Леонтий,Гонтарук,Авдиевич,160,,,,1953
1957 год,Лонгин,Гонтарь,Авелевич,161,,,,1957 год
1992 Feb 10 Питер,Августа,Гонцова, Авенировна,162,,,,1992 Feb 10 Питер
19.05.1986,Агата,Гончарова, Авериевна,163,19,05,1986,1986-05-19
20.05.1986,Агафья,Гончаренко,Аверкиевна,164,20,05,1986,1986-05-20
19861005 Москва,Аглая,Гончарик,Аверьяновна,165,,,,19861005 Москва
25.05.1992,Агнесса,Гончарова, Авксентиевна,166,25,05,1992,1992-05-25
04.05.1992,Агния,Гончарук,Авраамовна,167,04,05,1992,1992-05-04
5-10-1986 город Коломна,Аграфена,Гораздова,Авраамиевна,168,5,10,1986,1986-10-05
05.05.1958,Агриппина,Горбаневская, Аврамовна,169,05,05,1958,1958-05-05
05.01.1992,Ада,Горбань,Аврамьевна,170,05,01,1992,1992-01-05
05.10.1950,Аделаида,Горбатко, Аврелиановна,171,05,10,1950,1950-10-05
05.10.1960,Аза,Горбаткова, Автономовна,172,05,10,1960,1960-10-05
05.10.1992,Алевтина,Горбатова, Агаповна,173,05,10,1992,1992-10-05
дата 05101992,Александра,Горбачева,Агапиевна,174,,,,дата 05101992
дата 15 January 1965,Алина,Горбатых,Агапитовна,175,,,,дата 15 January 1965
дата 1986/05 Москва,Алиса,Горбач, Агафоновна,176,,,,дата 1986/05 Москва
дата рождения 5.10.1992,Алла,Горбачева, Аггеевна,177,5,10,1992,1992-10-05
рождения 05/10/1986Москва,Альбина,Горбачевский, Адамовна,178,05,10,1986,1986-10-05
05.10.1993,Анастасия,Горбаченко,Адриановна,179,05,10,1993,1993-10-05
12.янв.97,Ангелина,Горбенко, Азаровна,180,12,01,1997,1997-01-12
22 августа 1957,Анисья,Горбенкова,Азариевна,181,22,08,1957,1957-08-22
22 мая 1954,Анна,Горбова,Акакиевна,182,22,05,1954,1954-05-22
22.сен.56,Антонида,Горбоносов, Акимовна,183,22,09,1956,1956-09-22
15.12.1852,Антонина,Горбунина, Акиндиновна,184,15,12,1852,1852-12-15
1954,Анфиса,Горбункова,Акинфовна,185,,,,1954
1958 год,Аполлинария,Горбунова, Акинфиевна,186,,,,1958 год
1993 Feb 10 Питер,Ариадна,Горбунчикова, Аксёновна,187,,,,1993 Feb 10 Питер
27.05.1986,Беатриса,Горбушина,Аксентиевна,188,27,05,1986,1986-05-27
10.05.1986,Берта,Горбушова, Александровна,189,10,05,1986,1986-05-10
19861005 Москва,Борислава,Демьяненко, Алексеевна,190,,,,19861005 Москва
25.05.1993,Бронислава,Демьянец, Алексиевна,191,25,05,1993,1993-05-25
04.05.1993,Валентина,Демьянова, Альбертовна,192,04,05,1993,1993-05-04
5-10-1986 город Коломна,Валерия,Демьяновская, Альфредовна,193,5,10,1986,1986-10-05
05.05.1959,Ванда,Демьянок, Амвросиевна,194,05,05,1959,1959-05-05
05.01.1993,Варвара,Демьянчук,Амосовна,195,05,01,1993,1993-01-05
05.10.1974,Василиса,Демяник, Амфилохиевна,196,05,10,1974,1974-10-05
05.10.1970,Васса,Демянко, Ананиевна,197,05,10,1970,1970-10-05
05.10.1993,Вера,Демянова, Анастасиевна,198,05,10,1993,1993-10-05
дата 05101993,Вероника,Демяновская, Анатолиевна,199,,,,дата 05101993
дата 15 January 1966,Викторина,Деникина, Андреевна,200,,,,дата 15 January 1966
дата 1986/05 Москва,Виктория,Денисевич, Андриановна,201,,,,дата 1986/05 Москва
дата рождения 5.10.1993,Виргиния,Денисенко, Андроновна,202,5,10,1993,1993-10-05
рождения 05/10/1986Москва,Влада,Денисова, Андрониевна,203,05,10,1986,1986-10-05
05.10.1994,Владилена,Денисович, Андрониковна,204,05,10,1994,1994-10-05
12.янв.98,Владлена,Денисычева, Аникеевна,205,12,01,1998,1998-01-12
23 августа 1957,Владислава,Денисьева,Аникиевна,206,23,08,1957,1957-08-23
23 мая 1954,Власта,Денисюк, Аникитична,207,23,05,1954,1954-05-23
23.сен.56,Всеслава,Денюхина,Анисиевна,208,23,09,1956,1956-09-23
15.12.1853,Галина,Денягина,Анисимовна,209,15,12,1853,1853-12-15
1955,Галя,Денякина,Антиоховна,210,,,,1955
1959 год,Ганна,Деплоранская,Антиповна,211,,,,1959 год
1994 Feb 10 Питер,Генриетта,Депутатова,Антипична,212,,,,1994 Feb 10 Питер
16.05.1986,Глафира,Дербенева,Антипиевна,213,16,05,1986,1986-05-16
19.05.1986,Горислава,Дербина, Антоновна,214,19,05,1986,1986-05-19
19861005 Москва,Дарья,Дербышева, Антониновна,215,,,,19861005 Москва
25.05.1994,Диана,Дергачова, Антроповна,216,25,05,1994,1994-05-25
04.05.1994,Дина,Деревщикова,Антропиевна,217,04,05,1994,1994-05-04
5-10-1986 город Коломна,Доминика,Деревягина, Ануфриевна,218,5,10,1986,1986-10-05
05.05.1960,Домна,Деревянкина, Аполлинарьевна,219,05,05,1960,1960-05-05
05.01.1994,Ева,Деревянникова,Аполлоновна,220,05,01,1994,1994-01-05
05.10.1983,Евгеиня,Деревяшкина, Аполлосовна,221,05,10,1983,1983-10-05
05.10.1987,Евдокия,Державец, Ардалионовна,222,05,10,1987,1987-10-05
05.10.1994,Евлампия,Державина, Ардальоновна,223,05,10,1994,1994-10-05
дата 05101994,Екатерина,Державцева,Арефовна,224,,,,дата 05101994
дата 15 January 1967,Елена,Деркач,Арефьевна,225,,,,дата 15 January 1967
дата 1986/05 Москва,Елизавета,Деркачова,Арьевна,226,,,,дата 1986/05 Москва
дата рождения 5.10.1994,Ефросинья,Дерюгина,Аристарховна,227,5,10,1994,1994-10-05
рождения 05/10/1986Москва,Жанна,Дерябина, Аристидовна,228,05,10,1986,1986-10-05
05.10.1995,Зинаида,Дерягина,Аркадьевна,229,05,10,1995,1995-10-05
12.янв.99,Злата,Десницкая,Арнольдовна,230,12,01,1999,1999-01-12
24 августа 1957,Зоя,Десяткина,Ароновна,231,24,08,1957,1957-08-24
24 мая 1954,Изабелла,Десятова,Арсеновна,232,24,05,1954,1954-05-24
24.сен.56,Изольда,Деткина,Арсеньевна,233,24,09,1956,1956-09-24
15.12.1854,Инга,Деткова,Арсентьевна,234,15,12,1854,1854-12-15
1956,Инесса,Детнева,Артамоновна,235,,,,1956
1960 год,Инна,Деточкина, Артёмовна,236,,,,1960 год
1995 Feb 10 Питер,Ираида,Детушкина,Артемьевна,237,,,,1995 Feb 10 Питер
11.05.1986,Ирина,Деулина,Артуровна,238,11,05,1986,1986-05-11
17.05.1986,Ия,Дехтерева, Архиповна,239,17,05,1986,1986-05-17
19861005 Москва,Казимира,Джавадова,Асафовна,240,,,,19861005 Москва
25.05.1995,Калерия,Джура,Асафьевна,241,25,05,1995,1995-05-25
04.05.1995,Капитолина,Дзенискевич,Аскольдовна,242,04,05,1995,1995-05-04
5-10-1986 город Коломна,Каролина,Дзюбина,Афанасьевна,243,5,10,1986,1986-10-05
05.05.1961,Кира,Дианина, Афиногеновна,244,05,05,1961,1961-05-05
05.01.1995,Клавдия,Дианова,Африкановна,245,05,01,1995,1995-01-05
05.10.1951,Клара,Диденко,Артамоновна,246,05,10,1951,1951-10-05
05.10.1960,Кларисса,Дидоренко, Артёмовна,247,05,10,1960,1960-10-05
05.10.1995,Клементина,Деткина,Артемьевна,248,05,10,1995,1995-10-05
дата 05101995,Клеопатра,Деткова,Артуровна,249,,,,дата 05101995
дата 15 January 1968,Конкордия,Детнева, Архиповна,250,,,,дата 15 January 1968
дата 1986/05 Москва,Ксения,Деточкина,Асафовна,251,,,,дата 1986/05 Москва
дата рождения 5.10.1995,Лада,Детушкина,Асафьевна,252,5,10,1995,1995-10-05
рождения 05/10/1986Москва,Лариса,Деулина,Аскольдовна,253,05,10,1986,1986-10-05
05.10.1996,Леокадия,Дехтерева,Афанасьевна,254,05,10,1996,1996-10-05
12.янв.00,Лиана,Джавадова, Афиногеновна,255,12,01,1900,1900-01-12
25 августа 1957,Лидия,Джура,Африкановна,256,25,08,1957,1957-08-25
25 мая 1954,Лилиана,Дзенискевич,Артамоновна,257,25,05,1954,1954-05-25
25.сен.56,Измаил,Жабенков,Захарович,258,25,09,1956,1956-09-25
15.12.1855,Изот,Жабин,Захариевич,259,15,12,1855,1855-12-15
1957,Изяслав,Жабинский,Зенонович,260,,,,1957
1961 год,Иларион,Жабко,Зиновиевич,261,,,,1961 год
1996 Feb 10 Питер,Илья,Жабоедов,Зосимович,262,,,,1996 Feb 10 Питер
18.05.1986,Иннокентий,Жабрак,Зосимч,263,18,05,1986,1986-05-18
15.05.1986,Осип,Жабрук,Иакимович,264,15,05,1986,1986-05-15
19861005 Москва,Ипат,Жаворонков,Иакинфович,265,,,,19861005 Москва
25.05.1996,Ипатий,Жаврук,Иванович,266,25,05,1996,1996-05-25
04.05.1996,Ипполит,Жаданов,Игнатович,267,04,05,1996,1996-05-04
5-10-1986 город Коломна,Ираклий,Жаднов,Игнатиевич,268,5,10,1986,1986-10-05
05.05.1962,Исай,Жадный,Игоревич,269,05,05,1962,1962-05-05
05.01.1996,Исидор,Жадобин,Иеронимович,270,05,01,1996,1996-01-05
05.10.1988,Казимир,Жадов,Измаилович,271,05,10,1988,1988-10-05
05.10.1947,Каллистрат,Жадовский,Изосимович,272,05,10,1947,1947-10-05
05.10.1996,Капитон,Жаков,Изотович,273,05,10,1996,1996-10-05
дата 05101996,Карл,Жалобин,Изяславович,274,,,,дата 05101996
дата 15 January 1969,Карп,Жальба,Илиодорович,275,,,,дата 15 January 1969
дата 1986/05 Москва,Касьян,Жаравин,Илларионович,276,,,,дата 1986/05 Москва
дата рождения 5.10.1996,Ким,Жаравихин,Иларионович,277,5,10,1996,1996-10-05
рождения 05/10/1986Москва,Кир,Жаравлев,Ильич,278,05,10,1986,1986-10-05
05.10.1995,Кирилл,Жаренов,Иннокентиевич,279,05,10,1995,1995-10-05
12.янв.01,Клавдий,Жареный,Иоаннович,280,12,01,1901,1901-01-12
26 августа 1957,Клементий,Жариков,Иович,281,26,08,1957,1957-08-26
26 мая 1954,Кондрат,Жарин,Ионич,282,26,05,1954,1954-05-26
26.сен.56,Кондратий,Жарких,Иосафатович,283,26,09,1956,1956-09-26
15.12.1956,Конон,Жарков,Иосифович,284,15,12,1956,1956-12-15
1958,Константин,Жаров,Ипатович,285,,,,1958
1962 год,Корней,Жаровский,Ипатиевич,286,,,,1962 год
1981 Feb 10 Питер,Кузьма,Жарун,Ипполитович,287,,,,1981 Feb 10 Питер
05.05.1986,Куприян,Жбанков,Ираклиевич,288,05,05,1986,1986-05-05
1986.0509,Лавр,Жбанников,Иринархович,289,,,,1986.0509
19861005 Москва,Лаврентий,Жбанов,Иринеевич,290,,,,19861005 Москва
25.05.1981,Ладимир,Жваликовский,Исаакович,291,25,05,1981,1981-05-25
04.05.1981,Ладислав,Жвалов,Исаакиевич,292,04,05,1981,1981-05-04
5-10-1986 город Коломна,Лазарь,Жданеня,Исаевич,293,5,10,1986,1986-10-05
05.05.1963,Лев,Жданкин,Исакович,294,05,05,1963,1963-05-05
05.01.1981,Леон,Жданович,Исакиевич,295,05,01,1981,1981-01-05
05.10.1966,Леонид,Ждахин,Исидорович,296,05,10,1966,1966-10-05
05.10.1946,Сидор,Жебов,Иустинович,297,05,10,1946,1946-10-05
05.10.1981,Сила,Жебра,Казимирович,298,05,10,1981,1981-10-05
дата 05101981,Силантий,Жебраков,Каллиникович,299,,,,дата 05101981
дата 15 January 1970,Сильвестр,Жебрун,Каллистович,300,,,,дата 15 January 1970
дата 1986/05 Москва,Симон,Жебрунов,Каллистратович,301,,,,дата 1986/05 Москва
дата рождения 5.10.1981,Сократ,Жевакин,Капитонович,302,5,10,1981,1981-10-05
рождения 05/10/1986Москва,Соломон,Жевнеров,Карионович,303,05,10,1986,1986-10-05
05.10.1998,Софон,Жевнин,Карлович,304,05,10,1998,1998-10-05
12.янв.02,Софрон,Жегалин,Карпович,305,12,01,1902,1902-01-12
27 августа 1957,Спартак,Жегалов,Касьянович,306,27,08,1957,1957-08-27
27 мая 1954,Спиридон,Жеглов,Кимович,307,27,05,1954,1954-05-27
27.сен.56,Станимир,Жегулев,Киприанови,308,27,09,1956,1956-09-27
15.12.1857,Станислав,Жегулин,Кирович,309,15,12,1857,1857-12-15
1959,Степан,Желваков,Кириакович,310,,,,1959
1963 год,Стоян,Желватых,Кирьякович,311,,,,1963 год
1998 Feb 10 Питер,Тарас,Желдаков,Кирикович,312,,,,1998 Feb 10 Питер
09.05.1986,Твердислав,Железников,Кириллович,313,09,05,1986,1986-05-09
10.05.1986,Творимир,Железнов,Кирсанович,314,10,05,1986,1986-05-10
19861005 Москва,Терентий,Железный,Клавдиевич,315,,,,19861005 Москва
25.05.1998,Тимофей,Железняк,Климович,316,25,05,1998,1998-05-25
04.05.1998,Тимур,Железняка,Климентович,317,04,05,1998,1998-05-04
5-10-1986 город Коломна,Тит,Железняков,Климентиевич,318,5,10,1986,1986-10-05
05.05.1964,Тихон,Желнин,Кондратович,319,05,05,1964,1964-05-05
05.01.1998,Трифон,Желнинский,Кондратиевич,320,05,01,1998,1998-01-05
05.10.1926,Трофим,Желтиков,Кононович,321,05,10,1926,1926-10-05
05.10.1999,Ульян,Желтобрюхов,Конрадович,322,05,10,1999,1999-10-05
05.10.1998,Устин,Желтов,Константинович,323,05,10,1998,1998-10-05
дата 05101998,Фадей,Желтоногов,Корнеевич,324,,,,дата 05101998
дата 15 January 1971,Федор,Желтоножко,Корнелиевич,325,,,,дата 15 January 1971
дата 1986/05 Москва,Федосий,Желтонос,Корнилович,326,,,,дата 1986/05 Москва
дата рождения 5.10.1998,Федот,Иваков,Корнилиевич,327,5,10,1998,1998-10-05
рождения 05/10/1986Москва,Феликс,Иванаев,Ксенофонтович,328,05,10,1986,1986-10-05
05.10.1999,Феоктист,Иванеев,Кузьмич,329,05,10,1999,1999-10-05
12.янв.03,Феофан,Иваненко,Куприянович,330,12,01,1903,1903-01-12
28 августа 1957,Ферапонт,Иваненков,Захарович,331,28,08,1957,1957-08-28
28 мая 1954,Филарет,Иванец,Захариевич,332,28,05,1954,1954-05-28
28.сен.56,Филимон,Иваников,Зенонович,333,28,09,1956,1956-09-28
15.12.1858,Филипп,Иванилов,Зиновиевич,334,15,12,1858,1858-12-15
1960,Фирс,Иванин,Зосимович,335,,,,1960
1964 год,Флорентин,Иванисов,Зосимч,336,,,,1964 год
1999 Feb 10 Питер,Фока,Иванихин,Иакимович,337,,,,1999 Feb 10 Питер
10.05.1986,Фома,Иваничев,Иакинфович,338,10,05,1986,1986-05-10
19.05.1986,Фортунат,Иванишев,Иванович,339,19,05,1986,1986-05-19
