Дата рождения,Имя,Фамилия,Отчество,Код клиента,day,month,year,birth_date
1955 год,Ермолай,Вяльцев,Вавилич,111,,,,1955 год
1990 Feb 10 Питер,Ерофей,Вяткин,Вадимович,112,,,,1990 Feb 10 Питер
19861005 Москва,Захар,Вяхирев,Валерьянович,115,,,,19861005 Москва
дата 05101990,Иларион,Голубцов,Вассианович,124,,,,дата 05101990
дата 15 January 1963,Илья,Голубчик,Велизарович,125,,,,дата 15 January 1963
дата 1986/05 Москва,Иннокентий,Голубятников,Велимирович,126,,,,дата 1986/05 Москва
1952,Каллистрат,Гольцев,Викулич,135,,,,1952
1956 год,Капитон,Гольцов,Виленович,136,,,,1956 год
1991 Feb 10 Питер,Карл,Голягин,Вильгельмович,137,,,,1991 Feb 10 Питер
19861005 Москва,Ким,Гомбоев,Витольдович,140,,,,19861005 Москва
дата 05101991,Корней,Гондобин,Всеволодович,149,,,,дата 05101991
дата 15 January 1964,Кузьма,Гондырев,Всеславович,150,,,,дата 15 January 1964
дата 1986/05 Москва,Куприян,Гонимедов,Вуколович,151,,,,дата 1986/05 Москва
1953,Леонтий,Гонтарук,Авдиевич,160,,,,1953
1957 год,Лонгин,Гонтарь,Авелевич,161,,,,1957 год
1992 Feb 10 Питер,Августа,Гонцова, Авенировна,162,,,,1992 Feb 10 Питер
19861005 Москва,Аглая,Гончарик,Аверьяновна,165,,,,19861005 Москва
дата 05101992,Александра,Горбачева,Агапиевна,174,,,,дата 05101992
дата 15 January 1965,Алина,Горбатых,Агапитовна,175,,,,дата 15 January 1965
дата 1986/05 Москва,Алиса,Горбач, Агафоновна,176,,,,дата 1986/05 Москва
1954,Анфиса,Горбункова,Акинфовна,185,,,,1954
1958 год,Аполлинария,Горбунова, Акинфиевна,186,,,,1958 год
1993 Feb 10 Питер,Ариадна,Горбунчикова, Аксёновна,187,,,,1993 Feb 10 Питер
19861005 Москва,Борислава,Демьяненко, Алексеевна,190,,,,19861005 Москва
дата 05101993,Вероника,Демяновская, Анатолиевна,199,,,,дата 05101993
дата 15 January 1966,Викторина,Деникина, Андреевна,200,,,,дата 15 January 1966
дата 1986/05 Москва,Виктория,Денисевич, Андриановна,201,,,,дата 1986/05 Москва
1955,Галя,Денякина,Антиоховна,210,,,,1955
1959 год,Ганна,Деплоранская,Антиповна,211,,,,1959 год
1994 Feb 10 Питер,Генриетта,Депутатова,Антипична,212,,,,1994 Feb 10 Питер
19861005 Москва,Дарья,Дербышева, Антониновна,215,,,,19861005 Москва
дата 05101994,Екатерина,Державцева,Арефовна,224,,,,дата 05101994
дата 15 January 1967,Елена,Деркач,Арефьевна,225,,,,дата 15 January 1967
дата 1986/05 Москва,Елизавета,Деркачова,Арьевна,226,,,,дата 1986/05 Москва
1956,Инесса,Детнева,Артамоновна,235,,,,1956
1960 год,Инна,Деточкина, Артёмовна,236,,,,1960 год
1995 Feb 10 Питер,Ираида,Детушкина,Артемьевна,237,,,,1995 Feb 10 Питер
19861005 Москва,Казимира,Джавадова,Асафовна,240,,,,19861005 Москва
дата 05101995,Клеопатра,Деткова,Артуровна,249,,,,дата 05101995
дата 15 January 1968,Конкордия,Детнева, Архиповна,250,,,,дата 15 January 1968
дата 1986/05 Москва,Ксения,Деточкина,Асафовна,251,,,,дата 1986/05 Москва
1957,Изяслав,Жабинский,Зенонович,260,,,,1957
1961 год,Иларион,Жабко,Зиновиевич,261,,,,1961 год
1996 Feb 10 Питер,Илья,Жабоедов,Зосимович,262,,,,1996 Feb 10 Питер
19861005 Москва,Ипат,Жаворонков,Иакинфович,265,,,,19861005 Москва
дата 05101996,Карл,Жалобин,Изяславович,274,,,,дата 05101996
дата 15 January 1969,Карп,Жальба,Илиодорович,275,,,,дата 15 January 1969
дата 1986/05 Москва,Касьян,Жаравин,Илларионович,276,,,,дата 1986/05 Москва
1958,Константин,Жаров,Ипатович,285,,,,1958
1962 год,Корней,Жаровский,Ипатиевич,286,,,,1962 год
1981 Feb 10 Питер,Кузьма,Жарун,Ипполитович,287,,,,1981 Feb 10 Питер
1986.0509,Лавр,Жбанников,Иринархович,289,,,,1986.0509
19861005 Москва,Лаврентий,Жбанов,Иринеевич,290,,,,19861005 Москва
дата 05101981,Силантий,Жебраков,Каллиникович,299,,,,дата 05101981
дата 15 January 1970,Сильвестр,Жебрун,Каллистович,300,,,,дата 15 January 1970
дата 1986/05 Москва,Симон,Жебрунов,Каллистратович,301,,,,дата 1986/05 Москва
1959,Степан,Желваков,Кириакович,310,,,,1959
1963 год,Стоян,Желватых,Кирьякович,311,,,,1963 год
1998 Feb 10 Питер,Тарас,Желдаков,Кирикович,312,,,,1998 Feb 10 Питер
19861005 Москва,Терентий,Железный,Клавдиевич,315,,,,19861005 Москва
дата 05101998,Фадей,Желтоногов,Корнеевич,324,,,,дата 05101998
дата 15 January 1971,Федор,Желтоножко,Корнелиевич,325,,,,дата 15 January 1971
дата 1986/05 Москва,Федосий,Желтонос,Корнилович,326,,,,дата 1986/05 Москва
1960,Фирс,Иванин,Зосимович,335,,,,1960
1964 год,Флорентин,Иванисов,Зосимч,336,,,,1964 год
1999 Feb 10 Питер,Фока,Иванихин,Иакимович,337,,,,1999 Feb 10 Питер
19861005 Москва,Фотий,Иванишин,Игнатович,340,,,,19861005 Москва
дата 05101999,Эраст,Иванов,Илларионович,349,,,,дата 05101999
дата 15 January 1972,Эрнест,Ивановец,Иларионович,350,,,,дата 15 January 1972
дата 1986/05 Москва,Эрнст,Иванович,Ильич,351,,,,дата 1986/05 Москва
1961,Ярополк,Иванцов,Ипполитович,360,,,,1961
1965 год,Ярослав,Иванченко,Ираклиевич,361,,,,1965 год
1969 Feb 10 Питер,Мартын,Иванченков,Иринархович,362,,,,1969 Feb 10 Питер
19861005 Москва,Мефодий,Иванчихин,Исаакиевич,365,,,,19861005 Москва
дата 05101994,Мирослав,Иванюк,Каллистратович,374,,,,дата 05101994
дата 15 January 1973,Митофан,Иванюков,Капитонович,375,,,,дата 15 January 1973
дата 1986/05 Москва,Михаил,Иванютин,Карионович,376,,,,дата 1986/05 Москва
1962,Наум,Ивахнушкин,Остапович,385,,,,1962
1966 год,Нестор,Ивачев,Павлович,386,,,,1966 год
1998 Feb 10 Питер,Никандр,Ивашев,Павлинович,387,,,,1998 Feb 10 Питер
19861005 Москва,Никифор,Ивашин,Памфилович,390,,,,19861005 Москва
дата 05101965,Осип,Лавников,Пармёнович,399,,,,дата 05101965
дата 15 January 1974,Остап,Лавренев,Парфёнович,400,,,,дата 15 January 1974
дата 1986/05 Москва,Остромир,Лавренко,Парфениевич,401,,,,дата 1986/05 Москва
1963,Петр,Лаврик,Пименович,410,,,,1963
1967 год,Пимен,Лавриков,Питиримович,411,,,,1967 год
1995 Feb 10 Питер,Платон,Лавримов,Платонович,412,,,,1995 Feb 10 Питер
19861005 Москва,Потап,Лавриненков,Порфирович,415,,,,19861005 Москва
дата 05101977,Ратмир,Лаврович,Протасович,424,,,,дата 05101977
дата 15 January 1975,Родион,Лавровский,Протасиевич,425,,,,дата 15 January 1975
дата 1986/05 Москва,Роман,Лавронов,Прохорович,426,,,,дата 1986/05 Москва
1964,Самуил,Лагутин,Рубенович,435,,,,1964
1968 год,Светозар,Ладыгин,Рувимович,436,,,,1968 год
1973 Feb 10 Питер,Святополк,Ладыженский,Рудольфович,437,,,,1973 Feb 10 Питер
19861005 Москва,Селиван,Ладынин,Ремович,440,,,,19861005 Москва
дата 05101988,Леокадия,Лазоренко, Савёловна,449,,,,дата 05101988
дата 15 January 1976,Лиана,Лазукина, Савельевна,450,,,,дата 15 January 1976
1947,Адам,Абашев,Вадимович,692,,,,1947
1951 год,Андриян,Абашин,Валентинович,693,,,,1951 год
1986 Feb 10 Питер,Азарий,Абашкин,Валерианович,694,,,,1986 Feb 10 Питер
19861005 Москва,Алексей,Абдулин,Варламович,697,,,,19861005 Москва
дата 05101986,Аникита,Боровик,Велимирович,706,,,,дата 05101986
дата 15 January 1959,Анисим,Боровицкий,Венедиктович,707,,,,дата 15 January 1959
дата 1986/05 Москва,Антип,Боровко,Вениаминович,708,,,,дата 1986/05 Москва
1948,Артем,Бородыня,Вильгельмович,717,,,,1948
1952 год,Архип,Бороздин,Виссарионович,718,,,,1952 год
1987 Feb 10 Питер,Аскольд,Боронин,Виталиевич,719,,,,1987 Feb 10 Питер
19861005 Москва,Бажен,Борыков,Владимирович,722,,,,19861005 Москва
дата 05101987,Валентин,Ботвин,Вуколович,731,,,,дата 05101987
дата 15 January 1960,Валерий,Боткин,Вышеславович,732,,,,дата 15 January 1960
дата 1986/05 Москва,Валерьян,Боцян,Вячеславович,733,,,,дата 1986/05 Москва
1949,Виктор,Боярышников,Вавилич,742,,,,1949
1953 год,Викторин,Брагин,Вадимович,743,,,,1953 год
1988 Feb 10 Питер,Виссарион,Бражин,Валентинович,744,,,,1988 Feb 10 Питер
19861005 Москва,Владлен,Бражников,Валериевич,747,,,,19861005 Москва
дата 05101988,Гавриил,Братков,Велизарович,756,,,,дата 05101988
дата 15 January 1961,Галактион,Братухин,Велимирович,757,,,,дата 15 January 1961
дата 1986/05 Москва,Гедеон,Братцев,Венедиктович,758,,,,дата 1986/05 Москва
1950,Григорий,Высоков,Виленович,767,,,,1950
1954 год,Гурий,Высокович,Вильгельмович,768,,,,1954 год
1989 Feb 10 Питер,Давыд,Высокоостровский,Виссарионович,769,,,,1989 Feb 10 Питер
19861005 Москва,Демид,Выходцев,Владиленович,772,,,,19861005 Москва
дата 05101989,Евдоким,Вьющенко,Всеславович,781,,,,дата 05101989
дата 15 January 1962,Евлампий,Вязгин,Вуколович,782,,,,дата 15 January 1962
дата 1986/05 Москва,Евсей,Вязгунов,Вышеславович,783,,,,дата 1986/05 Москва
1951,Ермил,Вялов,Брониславович,792,,,,1951
1955 год,Ермолай,Вяльцев,Вавилич,793,,,,1955 год
1990 Feb 10 Питер,Ерофей,Вяткин,Вадимович,794,,,,1990 Feb 10 Питер
19861005 Москва,Захар,Вяхирев,Валерьянович,797,,,,19861005 Москва
дата 05101990,Иларион,Голубцов,Вассианович,806,,,,дата 05101990
дата 15 January 1963,Илья,Голубчик,Велизарович,807,,,,дата 15 January 1963
дата 1986/05 Москва,Иннокентий,Голубятников,Велимирович,808,,,,дата 1986/05 Москва
1952,Каллистрат,Гольцев,Викулич,817,,,,1952
1956 год,Капитон,Гольцов,Виленович,818,,,,1956 год
1991 Feb 10 Питер,Карл,Голягин,Вильгельмович,819,,,,1991 Feb 10 Питер
19861005 Москва,Ким,Гомбоев,Витольдович,822,,,,19861005 Москва
дата 05101991,Корней,Гондобин,Всеволодович,831,,,,дата 05101991
дата 15 January 1964,Кузьма,Гондырев,Всеславович,832,,,,дата 15 January 1964
дата 1986/05 Москва,Куприян,Гонимедов,Вуколович,833,,,,дата 1986/05 Москва
1953,Леонтий,Гонтарук,Авдиевич,842,,,,1953
1957 год,Лонгин,Гонтарь,Авелевич,843,,,,1957 год
1992 Feb 10 Питер,Августа,Гонцова, Авенировна,844,,,,1992 Feb 10 Питер
19861005 Москва,Аглая,Гончарик,Аверьяновна,847,,,,19861005 Москва
дата 05101992,Александра,Горбачева,Агапиевна,856,,,,дата 05101992
дата 15 January 1965,Алина,Горбатых,Агапитовна,857,,,,дата 15 January 1965
дата 1986/05 Москва,Алиса,Горбач, Агафоновна,858,,,,дата 1986/05 Москва
1954,Анфиса,Горбункова,Акинфовна,867,,,,1954
1958 год,Аполлинария,Горбунова, Акинфиевна,868,,,,1958 год
1993 Feb 10 Питер,Ариадна,Горбунчикова, Аксёновна,869,,,,1993 Feb 10 Питер
19861005 Москва,Борислава,Демьяненко, Алексеевна,872,,,,19861005 Москва
дата 05101993,Вероника,Демяновская, Анатолиевна,881,,,,дата 05101993
дата 15 January 1966,Викторина,Деникина, Андреевна,882,,,,дата 15 January 1966
дата 1986/05 Москва,Виктория,Денисевич, Андриановна,883,,,,дата 1986/05 Москва
1955,Галя,Денякина,Антиоховна,892,,,,1955
1959 год,Ганна,Деплоранская,Антиповна,893,,,,1959 год
1994 Feb 10 Питер,Генриетта,Депутатова,Антипична,894,,,,1994 Feb 10 Питер
19861005 Москва,Дарья,Дербышева, Антониновна,897,,,,19861005 Москва
дата 05101994,Екатерина,Державцева,Арефовна,906,,,,дата 05101994
дата 15 January 1967,Елена,Деркач,Арефьевна,907,,,,дата 15 January 1967
дата 1986/05 Москва,Елизавета,Деркачова,Арьевна,908,,,,дата 1986/05 Москва
1956,Инесса,Детнева,Артамоновна,917,,,,1956
1960 год,Инна,Деточкина, Артёмовна,918,,,,1960 год
1995 Feb 10 Питер,Ираида,Детушкина,Артемьевна,919,,,,1995 Feb 10 Питер
19861005 Москва,Казимира,Джавадова,Асафовна,922,,,,19861005 Москва
дата 05101995,Клеопатра,Деткова,Артуровна,931,,,,дата 05101995
дата 15 January 1968,Конкордия,Детнева,"Архипович, Архиповна",932,,,,дата 15 January 1968
дата 1986/05 Москва,Ксения,Деточкина,Асафовна,933,,,,дата 1986/05 Москва
1957,Изяслав,Жабинский,Зенонович,942,,,,1957
1961 год,Иларион,Жабко,Зиновиевич,943,,,,1961 год
1996 Feb 10 Питер,Илья,Жабоедов,Зосимович,944,,,,1996 Feb 10 Питер
19861005 Москва,Ипат,Жаворонков,Иакинфович,947,,,,19861005 Москва
дата 05101996,Карл,Жалобин,Изяславович,956,,,,дата 05101996
дата 15 January 1969,Карп,Жальба,Илиодорович,957,,,,дата 15 January 1969
дата 1986/05 Москва,Касьян,Жаравин,Илларионович,958,,,,дата 1986/05 Москва
1958,Константин,Жаров,Ипатович,967,,,,1958
1962 год,Корней,Жаровский,Ипатиевич,968,,,,1962 год
1981 Feb 10 Питер,Кузьма,Жарун,Ипполитович,969,,,,1981 Feb 10 Питер
1986.0509,Лавр,Жбанников,Иринархович,971,,,,1986.0509
19861005 Москва,Лаврентий,Жбанов,Иринеевич,972,,,,19861005 Москва
дата 05101981,Силантий,Жебраков,Каллиникович,981,,,,дата 05101981
дата 15 January 1970,Сильвестр,Жебрун,Каллистович,982,,,,дата 15 January 1970
дата 1986/05 Москва,Симон,Жебрунов,Каллистратович,983,,,,дата 1986/05 Москва
1959,Степан,Желваков,Кириакович,992,,,,1959
1963 год,Стоян,Желватых,Кирьякович,993,,,,1963 год
1998 Feb 10 Питер,Тарас,Желдаков,Кирикович,994,,,,1998 Feb 10 Питер
19861005 Москва,Терентий,Железный,Клавдиевич,997,,,,19861005 Москва
дата 05101998,Фадей,Желтоногов,Корнеевич,1006,,,,дата 05101998
дата 15 January 1971,Федор,Желтоножко,Корнелиевич,1007,,,,дата 15 January 1971
дата 1986/05 Москва,Федосий,Желтонос,Корнилович,1008,,,,дата 1986/05 Москва
1960,Фирс,Иванин,Зосимович,1017,,,,1960
1964 год,Флорентин,Иванисов,Зосимч,1018,,,,1964 год
1999 Feb 10 Питер,Фока,Иванихин,Иакимович,1019,,,,1999 Feb 10 Питер
19861005 Москва,Фотий,Иванишин,Игнатович,1022,,,,19861005 Москва
дата 05101999,Эраст,Иванов,Илларионович,1031,,,,дата 05101999
дата 15 January 1972,Эрнест,Ивановец,Иларионович,1032,,,,дата 15 January 1972
дата 1986/05 Москва,Эрнст,Иванович,Ильич,1033,,,,дата 1986/05 Москва
1961,Ярополк,Иванцов,Ипполитович,1042,,,,1961
1965 год,Ярослав,Иванченко,Ираклиевич,1043,,,,1965 год
1991 Feb 10 Питер,Мартын,Иванченков,Иринархович,1044,,,,1991 Feb 10 Питер
19861005 Москва,Мефодий,Иванчихин,Исаакиевич,1047,,,,19861005 Москва
дата 05101987,Мирослав,Иванюк,Каллистратович,1056,,,,дата 05101987
дата 15 January 1973,Митофан,Иванюков,Капитонович,1057,,,,дата 15 January 1973
дата 1986/05 Москва,Михаил,Иванютин,Карионович,1058,,,,дата 1986/05 Москва
1962,Наум,Ивахнушкин,Остапович,1067,,,,1962
1966 год,Нестор,Ивачев,Павлович,1068,,,,1966 год
1984 Feb 10 Питер,Никандр,Ивашев,Павлинович,1069,,,,1984 Feb 10 Питер
19861005 Москва,Никифор,Ивашин,Памфилович,1072,,,,19861005 Москва
дата 05101984,Осип,Лавников,Пармёнович,1081,,,,дата 05101984
дата 15 January 1974,Остап,Лавренев,Парфёнович,1082,,,,дата 15 January 1974
дата 1986/05 Москва,Остромир,Лавренко,Парфениевич,1083,,,,дата 1986/05 Москва
1963,Петр,Лаврик,Пименович,1092,,,,1963
1967 год,Пимен,Лавриков,Питиримович,1093,,,,1967 год
1994 Feb 10 Питер,Платон,Лавримов,Платонович,1094,,,,1994 Feb 10 Питер
19861005 Москва,Потап,Лавриненков,Порфирович,1097,,,,19861005 Москва
дата 05101980,Ратмир,Лаврович,Протасович,1106,,,,дата 05101980
дата 15 January 1975,Родион,Лавровский,Протасиевич,1107,,,,дата 15 January 1975
дата 1986/05 Москва,Роман,Лавронов,Прохорович,1108,,,,дата 1986/05 Москва
1964,Самуил,Лагутин,Рубенович,1117,,,,1964
1968 год,Светозар,Ладыгин,Рувимович,1118,,,,1968 год
1973 Feb 10 Питер,Святополк,Ладыженский,Рудольфович,1119,,,,1973 Feb 10 Питер
19861005 Москва,Селиван,Ладынин,Ремович,1122,,,,19861005 Москва
дата 05102003,Леокадия,Лазоренко, Савёловна,1131,,,,дата 05102003
дата 15 January 1976,Лиана,Лазукина, Савельевна,1132,,,,дата 15 January 1976
